,TType,K,C,A,S,G2,H,CNN2classes1stClass
86,0.714312672615,6.588780014299999,0.3624288428509999,0.943614661694,0.896645545959,1.63670814037,0.720600962639,0
87,3.9351558685300003,42.0523519709,0.308615390863,0.588009953499,0.8689002394679999,1.61572015285,0.798570692539,1
88,-0.352494955063,6.562338059859999,-9999.999999,0.876872301102,0.900196313858,1.65152943134,0.814915001392,0
89,-0.0071915388107299,15.9546427946,0.423946793941,0.702295899391,0.535073935986,1.39509010315,0.636978030205,1
90,1.9719882011400005,10.1563624416,0.346924041122,0.8025442361830001,0.837187349796,1.7149248123199998,0.7859856486319999,1
91,-2.0978512763999997,40.8831313193,0.552448032117,0.746520996094,0.440846979618,0.682352244854,0.4828359484669999,1
92,0.523739695549,10.3238706053,0.290742319721,0.9163017869,0.922365427017,1.7520710229900005,0.7814336419110001,1
93,-0.541997432709,20.838022282,-9999.999999,0.876847982407,0.5902956128119999,0.996126949787,0.582801401615,1
94,0.474569261074,19.2379312838,0.367958115313,0.910765886307,0.8381084799770001,1.15531289577,0.6391267776489999,1
95,1.31606280804,27.0630985698,0.402057264792,0.8655529022220001,0.795819282532,1.66333675385,0.7619617581370001,1
96,-2.21181058884,3.89811757411,0.382960825745,0.923844695091,0.913716554642,0.624140441418,0.5164941549300001,0
97,-2.41933774948,4.17160190515,0.367765302175,0.955609083176,0.864165723324,0.7428741455079999,0.554685354233,1
98,-1.4940892458,5.42334594864,0.545923396607,0.8180342316629999,0.8033521175380001,1.61434197426,0.726767301559,1
99,-2.2630829811099997,16.4448204864,0.4233978010999999,0.85921651125,0.451784580946,0.947181820869,0.5707641243930001,1
100,-0.583894133568,10.5578019902,-9999.999999,0.872715711594,0.8432234525679999,1.54678714275,0.703446209431,1
101,-1.4125071764,11.032304108499998,0.3930704761699999,0.8985282182690001,0.854199230671,1.10289847851,0.625231921673,1
102,2.42380237579,16.3866764929,0.350789935281,0.81909185648,0.8991973996160001,1.38417387009,0.700568139553,1
103,4.86272907257,26.927176427600003,0.3773967604079999,0.8155646324160001,0.824121892452,1.64810657501,0.7519719004629999,1
104,5.31193065643,143.885078781,-9999.999999,0.783228397369,0.862265825272,1.74786543846,0.8487825393680001,1
105,-1.09519326687,8.27690607983,0.334883448122,0.895739972591,0.898053467274,1.5782752037,0.720576345921,0
106,-2.04664564133,5.73322202011,-9999.999999,0.938554465771,0.9214220047,1.1735768318200002,0.598294436932,0
107,0.0685042142868,4.63127524562,-9999.999999,0.892636358738,0.883954823017,1.73908233643,0.755990147591,1
108,-1.92564284801,6.491011143230001,0.382037415527,0.908560693264,0.911426842213,1.03184723854,0.593603014946,0
109,-2.01190853119,7.810078039239999,0.4335694504469999,0.895798385143,0.797357976437,0.8604301810259999,0.580190837383,1
110,3.96640872955,44.8238584826,0.305525446729,0.740323483944,0.852875292301,1.48725605011,0.740475833416,1
111,-0.94168651104,30.8156228484,-9999.999999,0.64438354969,0.754401803017,1.34185564518,0.648815512657,1
112,3.1595048904400005,26.1967239662,0.286728108148,0.6898609995839999,0.841688930988,1.55666399002,0.776181280613,1
113,-1.77997267246,3.33208024634,-9999.999999,0.947724401951,0.927826344967,1.58207035065,0.690350174904,0
114,0.6996917724609999,6.215460650619999,-9999.999999,0.955606877804,0.95475268364,1.60367166996,0.741742551327,0
115,-2.36934089661,5.39875832872,0.400377608021,0.931864798069,0.924290955067,0.983038723469,0.5800152421,0
116,-2.3189764022799997,12.1287199893,0.504889485195,0.863223612309,0.6991423368449999,1.05787086487,0.596672832966,1
117,-0.137636303902,5.38607138505,0.448748724613,0.909017145634,0.862053453922,1.28895401955,0.658080101013,1
118,4.30222845078,25.1669100836,0.2679970218499999,0.581599652767,0.8984595537190001,1.69531095028,0.8451287746430001,1
119,6.179759979249999,87.7681274075,0.4186456390219999,0.740462064743,0.8307722806929999,1.63584756851,0.790557384491,1
120,4.28091573715,9.20770628879,0.307420392447,0.86569750309,0.914433717728,1.73946142197,0.821700811386,1
121,2.2670743465400003,13.0360764845,0.4042811294919999,0.8992143869399999,0.766358494759,1.10538101196,0.58435934782,1
122,-0.0337566137314,9.02729991885,-9999.999999,0.857720553875,0.951488792896,1.66981649399,0.722411453724,0
123,-2.0466337204,12.8090623669,-9999.999999,0.8026849031450001,0.825976967812,1.50546658039,0.727750182152,1
124,1.7358777523,37.6704426401,0.399256091111,0.38540738821,0.213630482554,0.7175246477130001,0.551922976971,1
125,2.40742635727,13.5963237865,0.2821011480249999,0.725473761559,0.828189015388,1.80720615387,0.8241744637489999,1
126,0.133395552635,23.9951317044,0.437202331943,0.959822356701,0.8055793643000001,0.418671607971,0.47787797451,1
127,1.8619260788,20.434870438,0.415622180441,0.7711595296860001,0.731265723705,1.6028519868900002,0.7117050886149999,1
128,-2.2185764312700003,8.7978673977,0.3593352258169999,0.852067470551,0.923774123192,1.4983932972,0.686950385571,1
129,4.04504346848,38.401590633000005,0.377353942364,0.721347570419,0.810320138931,1.62175917625,0.769529879093,1
130,3.6803989410400004,10.9990069992,0.266201610086,0.7284962534899999,0.91332000494,1.70324075222,0.831285357475,1
131,1.42394435406,17.8433154889,-9999.999999,0.81242698431,0.625056803226,1.42464029789,0.649496197701,1
132,-1.65233004093,6.47377474855,-9999.999999,0.850081980228,0.6368311643600001,0.5541983246800001,0.526724040508,1
133,4.70862436295,129.200728442,-9999.999999,0.168214976788,0.527615964413,1.58892190456,0.731060266495,1
134,1.63441228867,26.3942140064,0.392422043713,0.833774030209,0.716704845428,1.08407115936,0.636266589165,1
135,1.02920174599,9.45995910315,0.274384229616,0.810948431492,0.849373340607,1.70238053799,0.786510705948,1
136,5.783044338230001,48.3703855838,0.456759444747,0.703241348267,0.778934657574,1.68613243103,0.813368439674,1
137,4.1745910644499995,31.9306731178,0.311276840967,0.822999060154,0.835819363594,1.35624659061,0.68111127615,1
138,4.8051095008899996,177.688737959,0.360003350275,0.511521279812,0.695651590824,1.21982312202,0.4686539769169999,1
139,1.23770320415,32.4434698254,0.4139905667899999,0.867650866508,0.751427233219,1.2210174799,0.641629099846,1
140,2.66162967682,43.954926637700005,-9999.999999,0.7016704082490001,0.787328064442,1.53058362007,0.7426323890690001,1
141,-1.7789126634599999,7.397611997849999,0.365890410677,0.7831367850300001,0.767021596432,1.53390789032,0.6888630390170001,1
